"Assembly.Accession"	"Assembly.Name"	"Organism.Name"	"Assembly.Release.Date"
"GCA_036927245.1"	"ASM3692724v1"	"Arabidopsis thaliana"	"2024-02-29"
"GCA_036927045.1"	"ASM3692704v1"	"Arabidopsis thaliana"	"2024-02-29"
"GCA_036927385.1"	"ASM3692738v1"	"Arabidopsis thaliana"	"2024-02-29"
"GCA_036927265.1"	"ASM3692726v1"	"Arabidopsis thaliana"	"2024-02-29"
"GCA_036927365.1"	"ASM3692736v1"	"Arabidopsis thaliana"	"2024-02-29"
"GCA_036927375.1"	"ASM3692737v1"	"Arabidopsis thaliana"	"2024-02-29"
"GCA_036927475.1"	"ASM3692747v1"	"Arabidopsis thaliana"	"2024-02-29"
"GCA_036926925.1"	"ASM3692692v1"	"Arabidopsis thaliana"	"2024-02-29"
"GCA_036927455.1"	"ASM3692745v1"	"Arabidopsis thaliana"	"2024-02-29"
"GCA_036927025.1"	"ASM3692702v1"	"Arabidopsis thaliana"	"2024-02-29"
"GCA_036927275.1"	"ASM3692727v1"	"Arabidopsis thaliana"	"2024-02-29"
"GCA_036927255.1"	"ASM3692725v1"	"Arabidopsis thaliana"	"2024-02-29"
"GCA_036926975.1"	"ASM3692697v1"	"Arabidopsis thaliana"	"2024-02-29"
"GCA_036927355.1"	"ASM3692735v1"	"Arabidopsis thaliana"	"2024-02-29"
"GCA_025388435.1"	"AtA1-141.20181003"	"Arabidopsis thaliana"	"2022-09-25"
"GCA_036927285.1"	"ASM3692728v1"	"Arabidopsis thaliana"	"2024-02-29"
"GCA_036927485.1"	"ASM3692748v1"	"Arabidopsis thaliana"	"2024-02-29"
"GCA_036927505.1"	"ASM3692750v1"	"Arabidopsis thaliana"	"2024-02-29"
"GCA_902460285.1"	"Arabidopsis_thaliana_Ler"	"Arabidopsis thaliana"	"2019-08-28"
"GCA_900660825.1"	"Ath.Ler-0.MPIPZ.v1.0"	"Arabidopsis thaliana"	"2019-02-12"
"GCA_902460305.1"	"Arabidopsis_thaliana_Kyo"	"Arabidopsis thaliana"	"2019-08-28"
"GCA_933208065.1"	"ddAraThal4.1"	"Arabidopsis thaliana"	"2022-03-23"
"GCA_902460275.1"	"Arabidopsis_thaliana_Cvi-0"	"Arabidopsis thaliana"	"2019-08-28"
"GCA_902460295.1"	"Arabidopsis_thaliana_Sha"	"Arabidopsis thaliana"	"2019-08-28"
"GCA_902460315.1"	"Arabidopsis_thaliana_Eri-1"	"Arabidopsis thaliana"	"2019-08-28"
"GCA_001651475.1"	"Ler Assembly"	"Arabidopsis thaliana"	"2016-05-27"
"GCA_964248535.1"	"Arabidopsis thaliana Ag-0"	"Arabidopsis thaliana"	"2024-08-29"
"GCA_905067165.1"	"Col-0_GKat-wt"	"Arabidopsis thaliana"	"2021-03-19"
"GCA_910573875.1"	"Evry.Col-0"	"Arabidopsis thaliana"	"2022-09-22"
"GCA_900303355.1"	"ONTmin_IT4"	"Arabidopsis thaliana"	"2018-03-18"
"GCA_043165945.1"	"IMAGED_Live_23"	"Arabidopsis thaliana"	"2024-10-15"
"GCA_043165235.1"	"IMAGED_Live_21"	"Arabidopsis thaliana"	"2024-10-15"
"GCA_927323615.1"	"Arabidopsis"	"Arabidopsis thaliana"	"2022-01-21"
"GCA_000835945.1"	"ASM83594v1"	"Arabidopsis thaliana"	"2014-11-10"
"GCA_900303345.1"	"PBfal_IT4"	"Arabidopsis thaliana"	"2018-03-18"
"GCA_910574415.1"	"Evry.Ler-1"	"Arabidopsis thaliana"	"2022-09-22"
"GCA_964264635.1"	"ATRun1_SA_canu_assembly"	"Arabidopsis thaliana"	"2024-09-23"
"GCA_900243945.1"	"SAIL_oxford_assembly"	"Arabidopsis thaliana"	"2018-03-21"
"GCA_903064315.1"	"AT6911.Cvi-0.contigs"	"Arabidopsis thaliana"	"2020-05-18"
"GCA_902651935.1"	"araThaAn1v1"	"Arabidopsis thaliana"	"2019-12-05"
"GCA_001753755.2"	"Athal_Col0Cvi0F1_phased_diploid_1.0"	"Arabidopsis thaliana"	"2016-10-07"
"GCA_043165325.1"	"IMAGED_Live_20"	"Arabidopsis thaliana"	"2024-10-15"
"GCA_900243935.1"	"Col0_oxford_assembly"	"Arabidopsis thaliana"	"2018-03-21"
"GCA_902705455.1"	"araThaC24v1"	"Arabidopsis thaliana"	"2020-01-03"
"GCA_900243955.1"	"SALK_oxford_assembly"	"Arabidopsis thaliana"	"2018-03-21"
"GCA_963990585.1"	"Col.TEmutant"	"Arabidopsis thaliana"	"2024-03-16"
"GCA_043165315.1"	"IMAGED_Live_14"	"Arabidopsis thaliana"	"2024-10-15"
"GCA_001742845.1"	"AthNd1_v1.0"	"Arabidopsis thaliana"	"2016-09-23"
"GCA_000002985.3"	"WBcel235"	"Caenorhabditis elegans"	"2013-02-07"
"GCF_000002985.6"	"WBcel235"	"Caenorhabditis elegans"	"2013-02-07"
"GCA_028201415.1"	"ASM2820141v1"	"Caenorhabditis elegans"	"2023-01-29"
"GCA_028201515.1"	"ASM2820151v1"	"Caenorhabditis elegans"	"2023-01-29"
"GCA_020450165.1"	"ASM2045016v1"	"Caenorhabditis elegans"	"2021-10-13"
"GCA_004526295.1"	"ASM452629v1"	"Caenorhabditis elegans"	"2019-03-31"
"GCA_000975215.1"	"Cael_CB4856_1.0"	"Caenorhabditis elegans"	"2015-04-21"
"GCA_022984815.1"	"Ce_DL226"	"Caenorhabditis elegans"	"2022-04-19"
"GCA_039880965.1"	"ASM3988096v1"	"Caenorhabditis elegans"	"2024-05-31"
"GCA_029748435.1"	"ASM2974843v1"	"Caenorhabditis elegans"	"2023-04-18"
"GCA_963921135.1"	"QX1791"	"Caenorhabditis elegans"	"2024-01-05"
"GCA_963921055.1"	"GXW1"	"Caenorhabditis elegans"	"2024-01-05"
"GCA_045866515.1"	"C. elegans_AB1_1.0"	"Caenorhabditis elegans"	"2024-09-20"
"GCA_963920975.1"	"DL238"	"Caenorhabditis elegans"	"2024-01-05"
"GCA_963920995.1"	"DL200"	"Caenorhabditis elegans"	"2024-01-05"
"GCA_016989235.1"	"MY2147_Canu"	"Caenorhabditis elegans"	"2021-02-26"
"GCA_016989295.1"	"EG4725_Canu"	"Caenorhabditis elegans"	"2021-02-26"
"GCA_016989245.1"	"JU2600_Canu"	"Caenorhabditis elegans"	"2021-02-26"
"GCA_963921035.1"	"PB306"	"Caenorhabditis elegans"	"2024-01-05"
"GCA_963921075.1"	"JU775"	"Caenorhabditis elegans"	"2024-01-05"
"GCA_963921105.1"	"AB1"	"Caenorhabditis elegans"	"2024-01-05"
"GCA_963921115.1"	"LKC34"	"Caenorhabditis elegans"	"2024-01-05"
"GCA_016989365.1"	"JU1400_Canu"	"Caenorhabditis elegans"	"2021-02-26"
"GCA_016989105.1"	"MY2693_Canu"	"Caenorhabditis elegans"	"2021-02-26"
"GCA_016989455.1"	"ECA36_Canu"	"Caenorhabditis elegans"	"2021-02-26"
"GCA_016989115.1"	"NIC526_Canu"	"Caenorhabditis elegans"	"2021-02-26"
"GCA_016989145.1"	"NIC2_Canu"	"Caenorhabditis elegans"	"2021-02-26"
"GCA_963921025.1"	"N2"	"Caenorhabditis elegans"	"2024-01-05"
"GCA_016989505.1"	"DL238_Canu"	"Caenorhabditis elegans"	"2021-02-26"
"GCA_016989275.1"	"JU310_Canu"	"Caenorhabditis elegans"	"2021-02-26"
"GCA_016989385.1"	"ECA396_Canu"	"Caenorhabditis elegans"	"2021-02-26"
"GCA_963921155.1"	"QX1211"	"Caenorhabditis elegans"	"2024-01-05"
"GCA_963921015.1"	"PS2025"	"Caenorhabditis elegans"	"2024-01-05"
"GCA_016989095.1"	"QX1794_Canu"	"Caenorhabditis elegans"	"2021-02-26"
"GCA_963921145.1"	"CB4856"	"Caenorhabditis elegans"	"2024-01-05"
"GCA_963921045.1"	"JT11398"	"Caenorhabditis elegans"	"2024-01-05"
"GCA_963921005.1"	"EG4725"	"Caenorhabditis elegans"	"2024-01-05"
"GCA_963921065.1"	"JU751"	"Caenorhabditis elegans"	"2024-01-05"
"GCA_963921085.1"	"ECA248"	"Caenorhabditis elegans"	"2024-01-05"
"GCA_013403715.1"	"ASM1340371v1"	"Caenorhabditis elegans"	"2020-07-13"
"GCA_963920985.1"	"EG4946"	"Caenorhabditis elegans"	"2024-01-05"
"GCA_016989285.1"	"JU2526_Canu"	"Caenorhabditis elegans"	"2021-02-26"
"GCA_016989125.1"	"XZ1516_Canu"	"Caenorhabditis elegans"	"2021-02-26"
"GCA_963920965.1"	"JU394"	"Caenorhabditis elegans"	"2024-01-05"
"GCA_963921125.1"	"ECA36"	"Caenorhabditis elegans"	"2024-01-05"
"GCA_963921095.1"	"MY23"	"Caenorhabditis elegans"	"2024-01-05"
"GCA_027422445.1"	"ASM2742244v1"	"Caenorhabditis elegans"	"2022-12-27"
"GCA_027422425.1"	"ASM2742242v1"	"Caenorhabditis elegans"	"2022-12-27"
"GCA_033458355.1"	"ASM3345835v1"	"Caenorhabditis elegans"	"2023-11-09"
"GCA_033458345.1"	"ASM3345834v1"	"Caenorhabditis elegans"	"2023-11-09"
"GCA_030248285.1"	"ASM3024828v1"	"Caenorhabditis elegans"	"2023-06-09"
"GCA_018136805.1"	"ASM1813680v1"	"Caenorhabditis elegans"	"2021-04-23"
"GCA_018136875.1"	"ASM1813687v1"	"Caenorhabditis elegans"	"2021-04-23"
"GCA_018136835.1"	"ASM1813683v1"	"Caenorhabditis elegans"	"2021-04-23"
"GCA_018136795.1"	"ASM1813679v1"	"Caenorhabditis elegans"	"2021-04-23"
"GCA_000939815.1"	"C_elegans_Bristol_N2_v1_5_4"	"Caenorhabditis elegans"	"2014-09-24"
"GCA_000001215.4"	"Release 6 plus ISO1 MT"	"Drosophila melanogaster"	"2014-08-01"
"GCF_000001215.4"	"Release 6 plus ISO1 MT"	"Drosophila melanogaster"	"2014-08-01"
"GCA_029775095.1"	"ASM2977509v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775115.1"	"ASM2977511v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775135.1"	"ASM2977513v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775155.1"	"ASM2977515v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775175.1"	"ASM2977517v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775195.1"	"ASM2977519v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775215.1"	"ASM2977521v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775235.1"	"ASM2977523v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775255.1"	"ASM2977525v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775275.1"	"ASM2977527v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775295.1"	"ASM2977529v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775315.1"	"ASM2977531v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775335.1"	"ASM2977533v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775355.1"	"ASM2977535v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775375.1"	"ASM2977537v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775395.1"	"ASM2977539v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775415.1"	"ASM2977541v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775455.1"	"ASM2977545v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775475.1"	"ASM2977547v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775495.1"	"ASM2977549v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775515.1"	"ASM2977551v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775535.1"	"ASM2977553v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775555.1"	"ASM2977555v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775575.1"	"ASM2977557v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775595.1"	"ASM2977559v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775615.1"	"ASM2977561v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775635.1"	"ASM2977563v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775655.1"	"ASM2977565v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775675.1"	"ASM2977567v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775695.1"	"ASM2977569v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775715.1"	"ASM2977571v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775735.1"	"ASM2977573v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775755.1"	"ASM2977575v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775775.1"	"ASM2977577v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775795.1"	"ASM2977579v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_029775815.1"	"ASM2977581v1"	"Drosophila melanogaster"	"2023-04-17"
"GCA_002310755.1"	"ASM231075v1"	"Drosophila melanogaster"	"2017-09-18"
"GCA_042606445.1"	"ASM4260644v1"	"Drosophila melanogaster"	"2024-10-04"
"GCA_003401745.1"	"ASM340174v1"	"Drosophila melanogaster"	"2018-08-17"
"GCA_003402055.1"	"ASM340205v1"	"Drosophila melanogaster"	"2018-08-17"
"GCA_002300595.1"	"Dmel_A4_1.0"	"Drosophila melanogaster"	"2017-09-15"
"GCA_048772135.1"	"ASM4877213v1"	"Drosophila melanogaster"	"2025-05-01"
"GCA_003401735.1"	"ASM340173v1"	"Drosophila melanogaster"	"2018-08-17"
